Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	max_abs_r	module_type	selected
ME_M1263	-0.1355450968129166	0.02406182593041827	0.11466317431734568	0.056645420158272806	-0.05247009176541034	0.3843404112818833	0.1355450968129166	TS	True
ME_M1548	0.07018657199682787	0.24430595056451837	-0.09185565165400746	0.12723529744415585	0.13490113179330154	0.024747433378288445	0.13490113179330154	CT	True
ME_M1710	0.11900654959259131	0.04784479035686142	-0.13438734428694138	0.025306452030861532	0.06058041304381445	0.3150785923280526	0.13438734428694138	CT	True
ME_M191	0.07581752213639234	0.2084061253502452	-0.08164965695671379	0.1754049654478276	0.1308729388947563	0.029429523317131563	0.1308729388947563	CT	True
ME_M737	-0.07301505931396964	0.22576703479635496	0.05644599072203144	0.34930061500518855	-0.13086296127469066	0.02944200201577757	0.13086296127469066	CT	True
ME_M65	-0.10968321311121218	0.06834268121591078	0.13067926063851854	0.02967256085499435	-0.10476613588284568	0.08176002436149672	0.13067926063851854	CT	True
ME_M56	-0.08920158153802232	0.13864648340547367	0.1304981245638164	0.02990141115865908	-0.004212481004112242	0.9443584762454251	0.1304981245638164	CT	True
ME_M1115	0.11927148634673326	0.04734718806313767	-0.13030268683204008	0.03015002118852377	0.09077863656546142	0.13177505728972946	0.13030268683204008	TS	True
ME_M1654	0.1176074589243815	0.050545586802001975	-0.07268477411123682	0.22787882755062283	0.1289377519403912	0.03193604921419015	0.1289377519403912	CT	True
ME_M1903	-0.058202313966839246	0.33448593853404135	-0.02289163459258831	0.7044505590737639	-0.1283818606417798	0.0326888710005239	0.1283818606417798	CT	True
ME_M1024	0.12816798561390924	0.03298251311915915	-0.038701227492906914	0.5212339674552702	0.11455916187478819	0.056871590786947	0.12816798561390924	TS	True
ME_M1206	0.12734119416612877	0.034138876941777856	-0.07614929359147879	0.20641636672963665	0.06552530387304398	0.2771273156768589	0.12734119416612877	TS	True
