cluster_id	unique_genes	tissues	cluster_size	original_cluster_type	dominant_tissue	max_tissue_fraction	is_tissue_specific_095	cluster_tissue_class_095	VH	SMA	QUAD	frac_VH	frac_SMA	frac_QUAD	n_kinase	frac_kinase	n_GPCR	frac_GPCR	n_ion_channel	frac_ion_channel	n_nuclear_receptor	frac_nuclear_receptor	n_transporter	frac_transporter	n_enzyme	frac_enzyme	n_receptor	frac_receptor	n_transcription_factor	frac_transcription_factor	n_known_drug_target	frac_known_drug_target	n_Alzheimer_evidence	frac_Alzheimer_evidence	n_any_therapeutic_category	frac_any_therapeutic_category	target_category_score	representative_target_genes	target_rank
8	3	QUAD;SMA													1	0.3333333333333333	1	0.3333333333333333	0	0.0	0	0.0	0	0.0	1	0.3333333333333333	1	0.3333333333333333	0	0.0	1	0.3333333333333333	1	0.3333333333333333	1	0.3333333333333333	6	GRK5(kinase;GPCR;enzyme;receptor;known_drug_target;Alzheimer_evidence)	826
906	7	VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	5	0.7142857142857143	5	0.7142857142857143	5	SUPT4H1(Alzheimer_evidence);RPA1(Alzheimer_evidence);HAX1(Alzheimer_evidence);TOMM6(Alzheimer_evidence);LAMTOR5(Alzheimer_evidence)	827
1134	10	SMA;VH													0	0.0	0	0.0	0	0.0	0	0.0	1	0.1	1	0.1	0	0.0	0	0.0	0	0.0	3	0.3	5	0.5	5	PCNT(Alzheimer_evidence);MAML3(Alzheimer_evidence);PVT1(Alzheimer_evidence);ACTMAP(enzyme);SLC2A1-DT(transporter)	828
1434	5	VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	5	1.0	5	1.0	5	RAB5B(Alzheimer_evidence);RCBTB1(Alzheimer_evidence);RNF146(Alzheimer_evidence);CBX1(Alzheimer_evidence);RNF141(Alzheimer_evidence)	829
2341	8	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	5	0.625	5	0.625	5	ATG5(Alzheimer_evidence);HSCB(Alzheimer_evidence);HPCAL4(Alzheimer_evidence);ELOC(Alzheimer_evidence);HSBP1(Alzheimer_evidence)	830
2723	5	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	5	1.0	5	1.0	5	SAP18(Alzheimer_evidence);RPL11(Alzheimer_evidence);RPL38(Alzheimer_evidence);SNHG8(Alzheimer_evidence);SRP14(Alzheimer_evidence)	831
3647	7	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.1428571428571428	0	0.0	1	0.1428571428571428	0	0.0	3	0.4285714285714285	5	0.7142857142857143	5	SUGP1(Alzheimer_evidence);EIF4EBP1(Alzheimer_evidence);MEA1(Alzheimer_evidence);RPUSD3(enzyme);TAF10(transcription_factor)	832
43	5	QUAD;VH													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	0.4	1	0.2	2	0.4	4	0.8	5	RASSF4(Alzheimer_evidence);KLF13(transcription_factor;Alzheimer_evidence);ATP6V1E2(known_drug_target);ZNF778-DT(transcription_factor)	833
618	5	SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	2	0.4	0	0.0	0	0.0	0	0.0	3	0.6	4	0.8	5	CREG1(Alzheimer_evidence);CD58(Alzheimer_evidence);PGM3(enzyme;Alzheimer_evidence);LONP2(enzyme)	834
788	4	QUAD;SMA													0	0.0	0	0.0	0	0.0	0	0.0	0	0.0	1	0.25	0	0.0	0	0.0	0	0.0	4	1.0	4	1.0	5	NEGR1(Alzheimer_evidence);PPP2R5E(enzyme;Alzheimer_evidence);IFIT3(Alzheimer_evidence);CMC1(Alzheimer_evidence)	835
