ensembl_gene_id_base	hgnc_symbol	hgnc_name	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence	target_categories	therapeutic_target_score
ENSG00000105135	HACL2	2-hydroxyacyl-CoA lyase 2	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000105127	AKAP8	A-kinase anchoring protein 8	0.0		True	False	False	False	False	True	False	False	False	False	kinase;enzyme	2
ENSG00000279631			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279608			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280079			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279594			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279569			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280053			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280047			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280046			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000136379	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000136367	ZFHX2	zinc finger homeobox 2	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000136319	TTC5	tetratricopeptide repeat domain 5	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000185860	CCDC190	coiled-coil domain containing 190	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279602			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165675	ENOX2	ecto-NOX disulfide-thiol exchanger 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000104886	PLEKHJ1	pleckstrin homology domain containing J1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000104885	DOT1L	DOT1 like histone lysine methyltransferase	0.0		False	False	False	False	False	True	False	False	True	False	enzyme;known_drug_target	2
ENSG00000166159	LRTM2	leucine rich repeat transmembrane protein 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000166140	ZFYVE19	zinc finger FYVE-type containing 19	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000104915	STX10	syntaxin 10	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279078	SND1-IT1	SND1 intronic transcript 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279161			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279159			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279791			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279765			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279759			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279329			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279320			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279315			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279305			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279311			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279838			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279822			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279811			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279792			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165661	QSOX2	quiescin sulfhydryl oxidase 2	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000166046	TCP11L2	t-complex 11 like 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000166024	R3HCC1L	R3H domain and coiled-coil containing 1 like	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000166016	ABTB2	ankyrin repeat and BTB domain containing 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165887	ANKRD2	ankyrin repeat domain 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165912	PACSIN3	protein kinase C and casein kinase substrate in neurons 3	0.0		True	False	False	False	False	True	False	False	False	False	kinase;enzyme	2
ENSG00000166002	SMCO4	single-pass membrane protein with coiled-coil domains 4	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165983	PTER	phosphotriesterase related	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165695	AK8	adenylate kinase 8	0.0		True	False	False	False	False	True	False	False	False	False	kinase;enzyme	2
ENSG00000165689	ENTR1	endosome associated trafficking regulator 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165813	CCDC186	coiled-coil domain containing 186	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105176	URI1	URI1 prefoldin like chaperone	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000165685	TMEM52B	transmembrane protein 52B	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165684	SNAPC4	small nuclear RNA activating complex polypeptide 4	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165633	VSTM4	V-set and transmembrane domain containing 4	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279349			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000104883	PEX11G	peroxisomal biogenesis factor 11 gamma	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165886	UBTD1	ubiquitin domain containing 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165879	FRAT1	FRAT regulator of Wnt signaling pathway 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165863	SPMIP5	sperm microtubule inner protein 5	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165821	SALL2	spalt like transcription factor 2	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000165929	TC2N	tandem C2 domains, nuclear	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165914	TTC7B	tetratricopeptide repeat domain 7B	0.0		True	False	False	False	False	True	False	False	False	False	kinase;enzyme	2
ENSG00000104880	ARHGEF18	Rho/Rac guanine nucleotide exchange factor 18	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279852			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000104903	LYL1	LYL1 basic helix-loop-helix family member	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279712			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279699			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000104714	ERICH1	glutamate rich 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000104691	UBXN8	UBX domain protein 8	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000166133	RPUSD2	RNA pseudouridine synthase domain containing 2	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000279696			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279692			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279689			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000104872	PIH1D1	PIH1 domain containing 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164929	BAALC	BAALC binder of MAP3K1 and KLF4	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000136811	ODF2	outer dense fiber of sperm tails 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000136295	TTYH3	tweety family member 3	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165480	SKA3	spindle and kinetochore associated complex subunit 3	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000136243	NUP42	nucleoporin 42	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000136237	RAPGEF5	Rap guanine nucleotide exchange factor 5	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000136463	TACO1	translational activator of cytochrome c oxidase I	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000136830	NIBAN2	niban apoptosis regulator 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000136828	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000136816	TOR1B	torsin family 1 member B	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164603	SAMTOR	S-adenosylmethionine sensor upstream of mTORC1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280367			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280355			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280351			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279948			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279943			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279923			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279910			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164631	ZNF12	zinc finger protein 12	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000164620	RELL2	RELT like 2	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000164675	IQUB	IQ motif and ubiquitin domain containing	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164674	SYTL3	synaptotagmin like 3	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164669	INTS4P1	integrator complex subunit 4 pseudogene 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164663	USP49	ubiquitin specific peptidase 49	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000164841	TMEM74	transmembrane protein 74	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164684	ZNF704	zinc finger protein 704	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000164941	INTS8	integrator complex subunit 8	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279970			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279954			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279951			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280073			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280063			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105808	RASA4	RAS p21 protein activator 4	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105793	GTPBP10	GTP binding protein 10	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105605	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	0.0		False	False	True	False	False	False	False	False	False	False	ion_channel	1
ENSG00000105865	DUS4L	dihydrouridine synthase 4 like	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000164366	CCDC127	coiled-coil domain containing 127	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000281508			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164331	ANKRA2	ankyrin repeat family A member 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105948	IFT56	intraflagellar transport 56	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105926	PALS2	protein associated with LIN7 2, MAGUK p55 family member	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105889	STEAP1B	STEAP family member 1B	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105792	CFAP69	cilia and flagella associated protein 69	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164543	STK17A	serine/threonine kinase 17a	0.0		True	False	False	False	False	True	False	False	True	False	kinase;enzyme;known_drug_target	3
ENSG00000164542	MATCAP2	microtubule associated tyrosine carboxypeptidase 2	0.0		False	False	False	False	False	True	False	False	False	False	enzyme	1
ENSG00000164651	SP8	Sp8 transcription factor	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000105583	WDR83OS	WD repeat domain 83 opposite strand	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280011			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280010			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105767	CADM4	cell adhesion molecule 4	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105750	ZNF85	zinc finger protein 85	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000105738	SIPA1L3	signal induced proliferation associated 1 like 3	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164967	RPP25L	ribonuclease P/MRP subunit p25 like	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164488	DACT2	dishevelled binding antagonist of beta catenin 2	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280061			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164889	SLC4A2	solute carrier family 4 member 2	0.0		False	False	False	False	True	False	False	False	True	False	transporter;known_drug_target	2
ENSG00000279865			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279861			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279853			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280038	DNM1P41	dynamin 1 pseudogene 41	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280037			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280033			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105849	POLR1F	RNA polymerase I subunit F	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280099			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000280087			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165359	INTS6L	integrator complex subunit 6 like	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165322	ARHGAP12	Rho GTPase activating protein 12	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165309	ARMC3	armadillo repeat containing 3	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164972	SPMIP6	sperm microtubule inner protein 6	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000164970	FAM219A	family with sequence similarity 219 member A	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165178	NCF1C	neutrophil cytosolic factor 1C (pseudogene)	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105298	CACTIN	cactin, spliceosome C complex subunit	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105229	PIAS4	protein inhibitor of activated STAT 4	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000165244	ZNF367	zinc finger protein 367	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000105325	FZR1	fizzy and cell division cycle 20 related 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105321	CCDC9	coiled-coil domain containing 9	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105514	RAB3D	RAB3D, member RAS oncogene family	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105393	BABAM1	BRISC and BRCA1 A complex member 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165055	METTL2B	methyltransferase 2B, tRNA N3-cytidine	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105479	ODAD1	outer dynein arm docking complex subunit 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105447	GRWD1	glutamate rich WD repeat containing 1	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000105248	YJU2	YJU2 splicing factor homolog	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165164	CFAP47	cilia and flagella associated protein 47	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165138	ANKS6	ankyrin repeat and sterile alpha motif domain containing 6	0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279663			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279659			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000279744			0.0		False	False	False	False	False	False	False	False	False	False		0
ENSG00000165259	HDX	highly divergent homeobox	0.0		False	False	False	False	False	False	False	True	False	False	transcription_factor	1
ENSG00000165121	KIF27P2	KIF27 pseudogene 2	0.0		False	False	False	False	False	False	False	False	False	False		0
