Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	selected
ME_M117	0.08534190245614981	0.37984467105201053	0.10191778314470908	0.29391495002017376	0.04613215284422395	0.6354333571822413	0.06917062720869124	0.4768795771953077	0.09962444591165769	0.3049693544688216	0.10191778314470908	117	CT	False
ME_M119	0.17506613394536855	0.06995644281353791	0.09934386346012056	0.3063402570650477	0.039937532954356245	0.6815291953892206	-0.053530734288804574	0.5821621996202432	0.18024283049259618	0.06194892653469651	0.18024283049259618	119	CT	True
ME_M121	0.14817319297647943	0.12591677346169838	0.04359104864063369	0.6541869891995357	0.06188049525400268	0.524640795672736	-0.08052927544956405	0.4073911626221979	0.1665667928298295	0.08490146681956591	0.1665667928298295	121	CT	True
ME_M122	0.13271777538608648	0.17091804944918804	0.0689554446183174	0.47825489294429796	-0.0036932926728325335	0.9697392434451372	-0.014848839489482684	0.8787717362105344	0.12640935765654254	0.1923582057376143	0.13271777538608648	122	CT	True
ME_M124	0.024912135607310558	0.7980113125222772	0.11121904062994598	0.2518232595813732	-0.04184425284739217	0.6672054177531932	0.013273624315513754	0.8915490177923309	-0.008823918391822203	0.9277821771545549	0.11121904062994598	124	CT	False
ME_M18	0.12721453510841896	0.18951805742245711	0.017044396232247877	0.8610150871475201	0.041129986250968954	0.6725575251139398	0.14306553356964682	0.1396515609730186	0.13304087709413015	0.16986948737437593	0.14306553356964682	18	CT	False
ME_M21	0.035031503693314474	0.7188977357142846	-0.07790032174521205	0.4229218469249073	-0.050293824188313616	0.6052160498764155	0.10656727224541769	0.27232586795278874	0.05233997441226656	0.5905959416868811	0.10656727224541769	21	CT	False
ME_M28	-0.04230352470878239	0.6637727990717402	-0.052444051868757766	0.5898565906355088	0.07203164958679197	0.45879809870265165	-0.1034125142253236	0.28685441323013	-0.08840574867892764	0.3629111356567235	0.1034125142253236	28	CT	True
ME_M31	-0.10341799508842178	0.2868287332429859	-0.07748117511459886	0.42542917984904144	0.04628534966653032	0.6343099274661999	-0.0864031693699698	0.3739257253595876	-0.1424415348703127	0.1414045678793164	0.1424415348703127	31	CT	True
ME_M34	-0.07456180971248871	0.44312851758439503	-0.03899081841900651	0.6886838258571825	0.1408619447361613	0.1459165919534294	0.0015422301960783692	0.9873613691921116	-0.10206584005771548	0.29321050360494333	0.1408619447361613	34	CT	True
ME_M35	-0.039693247627726094	0.6833726696043242	-0.11196283430474223	0.24864611965573793	0.061684602241749376	0.5259566878394171	-0.05995581350332958	0.5376413020166001	-0.09695761336188514	0.31816174181710705	0.11196283430474223	35	CT	True
ME_M354	-0.058049932882797334	0.5506700495584286	0.02941294012524108	0.7625172747152071	-0.1067778701694207	0.27137400766832825	0.04796121974464998	0.6220750218073456	-0.06008639906714523	0.5367542280291437	0.1067778701694207	354	CT	False
ME_M355	-0.1060249973858351	0.27478719837381305	-0.027391177301224215	0.7784051960955995	-0.12898725810537523	0.18337264616334237	-0.040356955818409215	0.6783684364388816	-0.07442196909921736	0.4439866164102654	0.12898725810537523	355	TS	False
ME_M356	-0.10975206316099821	0.2581710273975568	0.04898816757099766	0.6146279253977822	-0.1457040837521862	0.13242087583897982	0.020805927037305397	0.8307586517055617	-0.053232703241002294	0.5842678422653814	0.1457040837521862	356	TS	False
ME_M416	0.02927153283487779	0.7636253994201917	0.1039928877682869	0.2841436321609388	0.047698934496864784	0.6239832007333453	-0.08820772407588365	0.3639913032776997	0.06461294813724594	0.5064607349189264	0.1039928877682869	416	CT	False
ME_M417	0.06527926537507757	0.5020775327931052	-0.01008700110227551	0.9174788289453535	0.053491615223748845	0.5824383835087499	-0.05591227334795106	0.5654630976054029	0.13931914545444724	0.15042756740138843	0.13931914545444724	417	CT	False
ME_M418	0.056489103899618046	0.5614528250875062	0.10412476317232991	0.2835300659554886	0.017561688548216693	0.856841188306902	-0.0892494251843059	0.3583313231651573	0.0879999026624151	0.36512703842748745	0.10412476317232991	418	CT	False
ME_M419	0.03370755722729213	0.729101105181791	0.10453049456791591	0.2816479022726368	-0.02935105708423487	0.763002156349087	-0.016998149717809597	0.8613884265792373	0.0866057317259536	0.3728024128017704	0.10453049456791591	419	CT	False
ME_M421	-0.0444120263533498	0.6481037856957408	-0.037758296006513474	0.6980396117667129	-0.08065295486955096	0.4066688740052997	0.054153215133499966	0.5777755691887739	-0.20477749519002553	0.0335090367055196	0.20477749519002553	421	CT	False
ME_M422	-0.044140488674418686	0.6501132636004481	-0.019658658172391385	0.8399628356437762	0.05416674762473732	0.5776803760988186	-0.04904072518120981	0.6142478370563746	0.1281004445134338	0.18642847461135867	0.1281004445134338	422	CT	False
ME_M424	-0.06911521426175449	0.47723353871023344	-0.04915616414928907	0.6134133592426788	-0.010911802112835906	0.9107579358951038	-0.0414915551176224	0.6698461699783009	0.10011299387465676	0.3025919416254914	0.10011299387465676	424	CT	False
ME_M425	-0.07449295101737068	0.44355093584329314	0.04162363968965343	0.6688567403045693	-0.045284239955167845	0.6416662204720555	-0.07992673609643085	0.4109207655996533	0.11211628495173721	0.24799410414584677	0.11211628495173721	425	CT	False
