gene_symbol	ensembl_id	ensembl_gene_id_base	tissue	source_module	phenotype	edge_frequency	run_type	hgnc_symbol	hgnc_name	protein_name	target_categories	therapeutic_target_score	open_targets_ad_score	open_targets_ad_datasources	is_kinase	is_gPCR	is_ion_channel	is_nuclear_receptor	is_transporter	is_enzyme	is_receptor	is_transcription_factor	is_known_drug_target	has_ad_evidence
LYN	ENSG00000254087.7	ENSG00000254087	AC	M11	cogng_demog_slope	0.185	per_module	LYN	LYN proto-oncogene, Src family tyrosine kinase		kinase;enzyme;known_drug_target;Alzheimer_evidence	4	0.1021011270490568	clinical_precedence:0.1545157443929537;europepmc:0.2686571349494996	True	False	False	False	False	True	False	False	True	True
ZC3H11A	ENSG00000058673.16	ENSG00000058673	AC	cross_cogng_demog_slope	cogng_demog_slope	0.18	cross_module	ZC3H11A	zinc finger CCCH-type containing 11A		transcription_factor	1	0.0		False	False	False	False	False	False	False	True	False	False
PLXND1	ENSG00000004399.12	ENSG00000004399	AC	M34	cogng_demog_slope	0.165	per_module	PLXND1	plexin D1		known_drug_target	1	0.0		False	False	False	False	False	False	False	False	True	False
MFSD12	ENSG00000161091.12	ENSG00000161091	AC	M34	cogng_demog_slope	0.16	per_module	MFSD12	major facilitator superfamily domain containing 12		transporter	1	0.0		False	False	False	False	True	False	False	False	False	False
REXO4	ENSG00000148300.11	ENSG00000148300	PCGBA23	M757	cogng_demog_slope	0.148	per_module	REXO4	RNA exonuclease 4			0	0.0		False	False	False	False	False	False	False	False	False	False
ZNF692	ENSG00000171163.15	ENSG00000171163	AC	cross_cogng_demog_slope	cogng_demog_slope	0.145	cross_module	ZNF692	zinc finger protein 692		transcription_factor	1	0.0		False	False	False	False	False	False	False	True	False	False
LAPTM5	ENSG00000162511.7	ENSG00000162511	AC	M11	cogng_demog_slope	0.144	per_module	LAPTM5	lysosomal protein transmembrane 5		Alzheimer_evidence	1	0.0363176239956715	europepmc:0.298698668815206	False	False	False	False	False	False	False	False	False	True
C1QC	ENSG00000159189.11	ENSG00000159189	AC	M11	cogng_demog_slope	0.14	per_module	C1QC	complement C1q C chain		Alzheimer_evidence	1	0.0154175104538907	europepmc:0.1268031699863008	False	False	False	False	False	False	False	False	False	True
MIR9-1HG	ENSG00000125462.16	ENSG00000125462	PCGBA23	M935	cogng_demog_slope	0.123	per_module	MIR9-1HG	MIR9-1 host gene			0	0.0		False	False	False	False	False	False	False	False	False	False
CARS2	ENSG00000134905.16	ENSG00000134905	AC	M757	cogng_demog_slope	0.119	per_module	CARS2	cysteinyl-tRNA synthetase 2, mitochondrial		enzyme;Alzheimer_evidence	2	0.007391597093694	europepmc:0.06079307976116211	False	False	False	False	False	True	False	False	False	True
ENSG00000276564.1	ENSG00000276564.1	ENSG00000276564	AC	M757	cogng_demog_slope	0.109	per_module					0	0.0		False	False	False	False	False	False	False	False	False	False
IDH2	ENSG00000182054.9	ENSG00000182054	PCGBA23	M935	cogng_demog_slope	0.106	per_module	IDH2	isocitrate dehydrogenase (NADP(+)) 2		enzyme;known_drug_target;Alzheimer_evidence	3	0.0282282013836058	europepmc:0.23216623910571763	False	False	False	False	False	True	False	False	True	True
MIR9-1HG	ENSG00000125462.16	ENSG00000125462	MFBA9BA46	M935	cogng_demog_slope	0.105	per_module	MIR9-1HG	MIR9-1 host gene			0	0.0		False	False	False	False	False	False	False	False	False	False
CD53	ENSG00000143119.12	ENSG00000143119	AC	M11	cogng_demog_slope	0.103	per_module	CD53	CD53 molecule		Alzheimer_evidence	1	0.0133716836775104	europepmc:0.10997702148043648	False	False	False	False	False	False	False	False	False	True
ADHFE1	ENSG00000147576.15	ENSG00000147576	MFBA9BA46	M935	cogng_demog_slope	0.099	per_module	ADHFE1	alcohol dehydrogenase iron containing 1		enzyme	1	0.0		False	False	False	False	False	True	False	False	False	False
C18orf32	ENSG00000177576.11	ENSG00000177576	PCGBA23	M935	cogng_demog_slope	0.098	per_module	C18orf32	chromosome 18 open reading frame 32		Alzheimer_evidence	1	0.0241213671272973	gwas_credible_sets:0.03967781731417946	False	False	False	False	False	False	False	False	False	True
FRMD8	ENSG00000126391.13	ENSG00000126391	PCGBA23	M34	cogng_demog_slope	0.097	per_module	FRMD8	FERM domain containing 8		Alzheimer_evidence	1	0.0088617421500939	expression_atlas:0.05981817427968088;europepmc:0.052265161627999095	False	False	False	False	False	False	False	False	False	True
ARHGAP30	ENSG00000186517.13	ENSG00000186517	AC	M11	cogng_demog_slope	0.093	per_module	ARHGAP30	Rho GTPase activating protein 30		Alzheimer_evidence	1	0.0040653784015317	europepmc:0.03343619386863916	False	False	False	False	False	False	False	False	False	True
TTYH1	ENSG00000167614.13	ENSG00000167614	MFBA9BA46	M935	cogng_demog_slope	0.091	per_module	TTYH1	tweety family member 1			0	0.0		False	False	False	False	False	False	False	False	False	False
LAPTM5	ENSG00000162511.7	ENSG00000162511	AC	cross_cogng_demog_slope	cogng_demog_slope	0.09	cross_module	LAPTM5	lysosomal protein transmembrane 5		Alzheimer_evidence	1	0.0363176239956715	europepmc:0.298698668815206	False	False	False	False	False	False	False	False	False	True
CD68	ENSG00000129226.13	ENSG00000129226	AC	M11	cogng_demog_slope	0.087	per_module	CD68	CD68 molecule		Alzheimer_evidence	1	0.1012867270032248	europepmc:0.833044874524783	False	False	False	False	False	False	False	False	False	True
PMF1-BGLAP	ENSG00000260238.6	ENSG00000260238	MFBA9BA46	M757	cogng_demog_slope	0.086	per_module	PMF1-BGLAP	PMF1-BGLAP readthrough			0	0.0		False	False	False	False	False	False	False	False	False	False
REXO4	ENSG00000148300.11	ENSG00000148300	AC	M757	cogng_demog_slope	0.083	per_module	REXO4	RNA exonuclease 4			0	0.0		False	False	False	False	False	False	False	False	False	False
CA5BP1	ENSG00000186312.10	ENSG00000186312	PCGBA23	M757	cogng_demog_slope	0.082	per_module	CA5BP1	carbonic anhydrase 5B pseudogene 1		Alzheimer_evidence	1	0.003695798546847	europepmc:0.030396539880581056	False	False	False	False	False	False	False	False	False	True
DNASE1L2	ENSG00000167968.12	ENSG00000167968	MFBA9BA46	M757	cogng_demog_slope	0.081	per_module	DNASE1L2	deoxyribonuclease 1 like 2		Alzheimer_evidence	1	0.0044349582562164	europepmc:0.03647584785669726	False	False	False	False	False	False	False	False	False	True
SASH3	ENSG00000122122.9	ENSG00000122122	AC	M11	cogng_demog_slope	0.077	per_module	SASH3	SAM and SH3 domain containing 3		Alzheimer_evidence	1	0.0014783194187388	europepmc:0.012158615952232422	False	False	False	False	False	False	False	False	False	True
DNMT1	ENSG00000130816.14	ENSG00000130816	PCGBA23	cross_cogng_demog_slope	cogng_demog_slope	0.074	cross_module	DNMT1	DNA methyltransferase 1		enzyme;transcription_factor;known_drug_target;Alzheimer_evidence	4	0.0559663682474197	europepmc:0.46030213033535167	False	False	False	False	False	True	False	True	True	True
LAIR1	ENSG00000167613.15	ENSG00000167613	AC	M11	cogng_demog_slope	0.073	per_module	LAIR1	leukocyte associated immunoglobulin like receptor 1		receptor;known_drug_target	2	0.0		False	False	False	False	False	False	True	False	True	False
HAVCR2	ENSG00000135077.8	ENSG00000135077	AC	M11	cogng_demog_slope	0.073	per_module	HAVCR2	hepatitis A virus cellular receptor 2		receptor;known_drug_target;Alzheimer_evidence	3	0.3434472094193465	gwas_credible_sets:0.5308502088030242;europepmc:0.6818874335979918	False	False	False	False	False	False	True	False	True	True
RBM4B	ENSG00000173914.11	ENSG00000173914	MFBA9BA46	M757	cogng_demog_slope	0.073	per_module	RBM4B	RNA binding motif protein 4B		transcription_factor	1	0.0		False	False	False	False	False	False	False	True	False	False
CA5BP1	ENSG00000186312.10	ENSG00000186312	MFBA9BA46	M757	cogng_demog_slope	0.073	per_module	CA5BP1	carbonic anhydrase 5B pseudogene 1		Alzheimer_evidence	1	0.003695798546847	europepmc:0.030396539880581056	False	False	False	False	False	False	False	False	False	True
MYH9	ENSG00000100345.20	ENSG00000100345	PCGBA23	M34	cogng_demog_slope	0.072	per_module	MYH9	myosin heavy chain 9		Alzheimer_evidence	1	0.0560334381262401	europepmc:0.4608537546245295	False	False	False	False	False	False	False	False	False	True
IRAK2	ENSG00000134070.4	ENSG00000134070	AC	M34	cogng_demog_slope	0.072	per_module	IRAK2	interleukin 1 receptor associated kinase 2		kinase;enzyme;receptor;known_drug_target;Alzheimer_evidence	5	0.0142863818817347	europepmc:0.11750006693082247	True	False	False	False	False	True	True	False	True	True
