Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_type
ME_M737	-0.07799276981235963	0.20567171735714804	0.05885349549783381	0.3398994282058269	-0.1321028747630036	0.03157553357371598	-0.0470909568419738	0.4452338143176793	0.06956224980759336	0.25914861798580274	0.1321028747630036	CT
ME_M1861	-0.033997435109439575	0.581646550704289	0.12787578292162505	0.03749118050779992	-0.07854511944148679	0.20246945462878246	0.08041595398429127	0.1918918316047643	0.049666795778851525	0.4207089688844912	0.12787578292162505	CT
ME_M2198	0.10189457040281469	0.0978853683515732	-0.12707568112906717	0.03871049605607983	0.06889728665166775	0.2637407927887227	-0.006307580674455205	0.91860142296622	-0.06319445930961243	0.30541370299771997	0.12707568112906717	CT
ME_M1592	0.12621679131178304	0.040056519075025436	-0.02913918543572109	0.6367772704614996	-0.034880860475537984	0.5718648954434749	-0.004521457811615979	0.9416020622328325	0.008651062884845805	0.8885288435336729	0.12621679131178304	CT
ME_M56	-0.08610683250716818	0.16220659914675584	0.12507745341372722	0.04190277965434044	-0.007734040238444467	0.9002799078640437	-0.04902064603716231	0.4267857808127951	0.05540086902387263	0.3690322488407062	0.12507745341372722	CT
ME_M189	0.1235536932628157	0.04448346237086985	-0.07225042634688553	0.24114717990597054	0.03598350061507251	0.5597662218620634	0.02463006864137949	0.6898094707289434	0.04221334449304533	0.49382359725471925	0.1235536932628157	CT
ME_M1710	0.10016831588721414	0.10373535466321081	-0.12323519118512859	0.04503940616269391	0.06630305778409085	0.2821880335079659	0.05693871139516268	0.35587034588668887	-0.05997254213730123	0.3307805819555505	0.12323519118512859	CT
ME_M644	0.05219518011089843	0.39742091477985425	-0.08688404915828943	0.15843573551721285	0.12262608002636746	0.04611883431939519	0.10111492387861346	0.10049416160806145	-0.06106999075513771	0.32199206070808023	0.12262608002636746	CT
ME_M1579	-0.06502495793207357	0.2915889787050137	0.022726007452736854	0.712685856185953	-0.027976476355520606	0.6502896129884058	0.12207759196245214	0.047109283868276376	-0.01696011831101149	0.7834657942913296	0.12207759196245214	CT
ME_M1823	-0.03397585785045604	0.5818864330019988	0.09441083548936233	0.12526157720131054	-0.12109357565335341	0.048930788360009525	0.009157492519695862	0.882049525780334	0.07089982925606476	0.25007898764185366	0.12109357565335341	CT
ME_M936	-0.11862511169668673	0.053760192984379784	0.09277277900446729	0.1319792545017343	-0.05839041633452431	0.3437193791393421	-0.04174620557717449	0.49862074715533017	-0.003784058895759078	0.9511130943524005	0.11862511169668673	TS
ME_M1206	0.11765505215305706	0.05576337297078442	-0.0778304502377797	0.2066196890897009	0.09363937727784316	0.128391557607553	0.09742922215069484	0.11358067390227465	-0.046918914180864996	0.44690021847303396	0.11765505215305706	TS
