Gene	r_cogn_global	p_cogn_global	r_pseudotime	p_pseudotime	r_cogng_demog_slope	p_cogng_demog_slope	r_motor10_demog_slope	p_motor10_demog_slope	r_sqrt_parksc_demog_slope	p_sqrt_parksc_demog_slope	max_abs_r	module_id	module_type	selected
ME_M1650	0.11187471719697502	0.06901961271778262	-0.08238443530465182	0.18120450141470834	0.03277733129864841	0.5952824744740295	-0.03417930624157945	0.5796264516619136	-0.004414059460451166	0.9429868122109393	0.11187471719697502	1650	CT	False
ME_M1653	-0.09276621424920442	0.13200672419029214	0.01449580051376593	0.814308573921722	-0.062448011090238745	0.3111733030654629	-0.04302440970486901	0.4855532802486902	0.04198559602183164	0.49615932249801625	0.09276621424920442	1653	CT	False
ME_M1654	0.1076368754606063	0.08029050546109198	-0.065514779572939	0.2879616970691198	0.15058580978816566	0.014136371876467033	0.02219621410362373	0.7190981055637666	-0.05782586427944848	0.3484131009344778	0.15058580978816566	1654	CT	False
ME_M1671	0.02420098369978372	0.6949410652633679	-0.03881157632222442	0.5293117084524841	0.01180203071420642	0.848351992103926	-0.07442278160803478	0.22725382147577972	-0.0066996001942870925	0.9135616050039287	0.07442278160803478	1671	CT	False
ME_M1710	0.1001683158872141	0.10373535466321135	-0.12323519118512859	0.04503940616269413	0.06630305778409082	0.28218803350796895	0.05693871139516267	0.3558703458866906	-0.05997254213730118	0.33078058195555043	0.12323519118512859	1710	CT	False
ME_M1726	0.03604795232885396	0.5590628640750509	0.04067986079998725	0.5096629032927157	0.07029199359305749	0.25417279666065096	0.020848753541984993	0.7354947319227448	-0.027349198955260768	0.6576275971654882	0.07029199359305749	1726	CT	False
ME_M1730	0.0003938010589638387	0.9949092817747179	-0.052039788328095915	0.3988294900093538	0.029267590439981454	0.6352922534703741	-0.05319519254625372	0.3884277006463564	-0.040351861694042125	0.5130847955487596	0.05319519254625372	1730	CT	False
ME_M1757	-0.01095780670362328	0.85908247996166	0.02122158487097353	0.7309455455807691	0.006712981247354463	0.9133896374933618	0.01624201162598802	0.7924208889033698	-0.026729802211478148	0.6649057309546578	0.026729802211478148	1757	CT	True
ME_M1806	0.046986321584996486	0.4462468908004489	0.011513254730100935	0.8520194323916588	-0.04857217540264895	0.4310332335575689	0.09669042423633566	0.11635774294882818	0.03202903515394551	0.6037165626592138	0.09669042423633566	1806	CT	True
ME_M1823	-0.033975857850456086	0.5818864330019985	0.09441083548936237	0.12526157720130737	-0.12109357565335349	0.04893078836000965	0.009157492519695875	0.8820495257803332	0.07089982925606472	0.2500789876418523	0.12109357565335349	1823	CT	False
ME_M1831	-0.023154320052145873	0.7075165548202262	-0.06152533350598739	0.31839050628064597	0.05496580258862611	0.37280978937986714	-0.05263572845769744	0.39344373521324133	0.004933354894911357	0.9362928949237498	0.06152533350598739	1831	CT	True
ME_M1849	0.044964532819725865	0.4660762303206223	-0.06236777492236427	0.31179661861236463	0.19026636062365668	0.0018636706356560883	-0.0028564021461062058	0.9630877649600302	-0.15837148770641843	0.00981639965206284	0.19026636062365668	1849	CT	False
ME_M1861	-0.033997435109439575	0.5816465507042933	0.12787578292162505	0.037491180507799884	-0.07854511944148677	0.2024694546287856	0.08041595398429129	0.19189183160476467	0.0496667957788515	0.420708968884491	0.12787578292162505	1861	CT	False
ME_M187	0.1485208710930532	0.015531161754531161	-0.08292536548187598	0.17834611017425606	0.1203126376848227	0.05041788046848778	0.0844545284715126	0.17044630649065784	-0.08690128427178163	0.15835286937818804	0.1485208710930532	187	CT	False
ME_M188	0.1428466109609321	0.020001264067350193	-0.0433408290650201	0.4823471261661221	0.033708095693754075	0.5848670602579238	-0.05346128786053394	0.38605559896724917	0.0057567330926866596	0.9256885930455612	0.1428466109609321	188	CT	False
ME_M189	0.1235536932628157	0.044483462370869864	-0.07225042634688554	0.24114717990597145	0.03598350061507249	0.5597662218620657	0.024630068641379486	0.6898094707289444	0.0422133444930453	0.4938235972547236	0.1235536932628157	189	CT	False
ME_M190	0.034144881066689024	0.5800085715580386	-0.04243670075125178	0.491538612707003	0.04244736512646857	0.49142965510628994	0.16755822937462114	0.006254870480288669	-0.06401511046767921	0.299163207139152	0.16755822937462114	190	TS	False
ME_M1901	0.019584236931181147	0.7509919780768705	0.10669318084184164	0.08299258865221454	-0.03384133480272376	0.5833830106281753	-0.010489974600150899	0.8650401435165511	0.012539710601736401	0.8389984819574522	0.10669318084184164	1901	CT	False
ME_M1903	-0.05436281697827	0.37808453308705237	-0.037353047973152226	0.5449129728634065	-0.1419496342446634	0.020801598103095068	-0.08113193659982777	0.1879524972049009	0.02989059455452184	0.6281079233530433	0.1419496342446634	1903	CT	False
ME_M1904	-0.05286609378448339	0.3913736227222237	0.10077568849020158	0.10164635268940056	-0.1128520702210086	0.06661273440341493	0.07176752444424368	0.24431471300695495	0.016261446528833687	0.7921781628113416	0.1128520702210086	1904	CT	False
ME_M1905	0.018488436168818918	0.7645030461738834	-0.028584159345198673	0.6432128443132487	0.09046802270182988	0.1418967453469753	-0.10607341422523843	0.08480668699049074	-0.041809379953601615	0.4979705587082399	0.10607341422523843	1905	CT	False
ME_M1907	0.0207163959582107	0.7371119537209863	0.027747427186544906	0.6529652061018767	-0.0897302290506075	0.14518891748844462	0.047267941233720044	0.4435232258495833	0.02570516080002299	0.6770145928229345	0.0897302290506075	1907	CT	False
ME_M191	0.09119910193910953	0.13869107596364	-0.08270797072220609	0.17949083494576806	0.1497584323869825	0.01468146100866321	0.1132322428232223	0.06569526449625974	-0.06890539662076042	0.263684451994387	0.1497584323869825	191	CT	False
ME_M1918	0.2614659935306915	1.6216948898915974e-05	-0.14783629656272695	0.01601942644498156	0.2919989458698214	1.3198005013029679e-06	0.04834714238013225	0.43317366663576307	-0.1068521519360634	0.08253234315402407	0.2919989458698214	1918	CT	True
